period,flags,algorithm,max_eval,run_name,objective,obj_departure,iterations_performed,total_evaluations,final_control_points,total_runtime_seconds,f_mean,f_std,f_median,f_rms_vs_baseline,s_mean,s_std,s_median,s_rms_vs_baseline
Full [0-400],f-f-f-f-f,SBPLX,100000,config_011_f-f-f-f-f_36_1_100k_el_20260107-165607,-0.002223432973307,0.0,1,92428,36,28168.58,0.01537389797708046,0.009136613917175875,0.0110067777006575,0.0,0.25562657033912295,0.04050897060788095,0.2626767852893195,0.0
Full [0-400],f-f-f-f-f,SBPLX,50000,config_011_f-f-f-f-f_25_1_50k_el_20260106-192614,-0.002223433559002,5.856949998779559e-10,2,21614,25,24737.01,0.015374635367358377,0.009134292585162863,0.0110019378751445,8.508858828948585e-05,0.2555734191170611,0.04076348135934255,0.2625531220348216,0.003565937439113813
Full [0-400],f-f-f-f-f,SBPLX,100000,config_011_f-f-f-f-f_25_1_100k_el_20260107-165607,-0.002223433559062,5.857550000598621e-10,1,47166,25,16116.77,0.015374846354484384,0.00913439233269589,0.0110022636072152,8.588805037014159e-05,0.2555736798265775,0.04076296495744991,0.2625525214246788,0.003565677246684665
Full [0-400],f-f-f-f-f,SBPLX,50000,config_011_f-f-f-f-f_25_1_50k_el_3_20260106-192614,-0.002223433559678,5.863709999325006e-10,3,26480,25,27515.93,0.015375070082359815,0.00913413763603774,0.0109908866448647,8.593767209331233e-05,0.25557362878860346,0.0407627493727148,0.2625542964974218,0.0035656081787551167
Full [0-400],f-f-f-f-f,SBPLX,50000,config_011_f-f-f-f-f_25_1_50k_el_3_20260107-090148,-0.002223433559678,5.863709999325006e-10,3,26480,25,20385.56,0.015375070082359815,0.00913413763603774,0.0109908866448647,8.593767209331233e-05,0.25557362878860346,0.0407627493727148,0.2625542964974218,0.0035656081787551167
Full [0-400],f-f-f-f-f,BOBYQA,50000,config_011_f-f-f-f-f_25_1_50k_el_3_BOBYQA_20260106-192614,-0.0022234335665360003,5.932290002112761e-10,3,11082,25,15821.85,0.01537459039087673,0.009134567446938285,0.0109972380100249,8.393171789389335e-05,0.2555762544038897,0.040736157681464054,0.2625729184033908,0.0035518385709920374
Full [0-400],f-f-f-f-f,BOBYQA,50000,config_011_f-f-f-f-f_25_1_50k_el_3_BOBYQA_20260107-090148,-0.0022234335665360003,5.932290002112761e-10,3,11082,25,11240.02,0.01537459039087673,0.009134567446938285,0.0109972380100249,8.393171789389335e-05,0.2555762544038897,0.040736157681464054,0.2625729184033908,0.0035518385709920374
Full [0-400],f-f-f-f-f,BOBYQA,50000,config_011_f-f-f-f-f_25_1_50k_el_BOBYQA_20260106-192614,-0.00222343357376,6.00452999821588e-10,2,7282,25,11478.73,0.015373625417519092,0.009134676089412565,0.0109932233114818,8.42762189012753e-05,0.25550988151053694,0.040712287651317,0.2624915908882662,0.0035380607504536038
Full [0-400],f-f-f-f-f,SBPLX,50000,config_011_f-f-f-f-f_16_1_50k_el_20260106-192605,-0.0022234390975220003,6.124215000142402e-09,2,8926,16,13388.96,0.01537667072407517,0.009143394706440575,0.0112902033644706,0.0004274567838336778,0.25561423275751954,0.040767371373155885,0.2626326331704784,0.0036109408876807527
Full [0-400],f-f-f-f-f,SBPLX,50000,config_011_f-f-f-f-f_16_1_50k_el_3_20260106-192605,-0.002223439097676,6.124368999785301e-09,3,17367,16,21672.8,0.015376882025228128,0.00914304447382184,0.0112899109865384,0.00042742140505980963,0.2556142553922568,0.04076716681832795,0.2626328500797192,0.0036108413421306667
